com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
19792,4,0,40,2021-02-11 08:38:00.000,230002,,2021-02-11 08:41:03.451,2021-02-11 08:41:03.450,40,1.3888888,27.49,2.15,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:38:59.999,f6dbad02-d2ce-881a-f380-2c383b2214a9,
17601,4,0,31,2021-02-11 08:45:00.000,230002,,2021-02-11 08:48:24.412,2021-02-11 08:48:24.412,31,1.3055556,22.98,1.09,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:45:59.999,d0165d1a-7c5a-30ff-d1cb-863a95355cf0,
19348,4,16,28,2021-02-11 08:44:00.000,230002,,2021-02-11 08:48:24.406,2021-02-11 08:48:24.406,44,1.8611112,36.01,2.12,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:44:59.999,393c68e7-44ef-630e-1d94-cc7fa3583979,
5300,4,0,10,2021-02-11 09:33:00.000,230002,,2021-02-11 09:34:06.483,2021-02-11 09:34:06.483,10,1.5,7.95,0.32,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 09:33:59.999,fbfceb73-0645-d15b-b894-0fce8f80213b,
4633,4,0,10,2021-02-11 09:28:00.000,230002,,2021-02-11 09:34:06.472,2021-02-11 09:34:06.472,10,1.7222222,7.98,0.29,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 09:28:59.999,d8a82cd8-195d-66ea-3536-7ae27283da65,
4810,4,2,10,2021-02-11 10:11:00.000,230002,,2021-02-11 10:11:21.695,2021-02-11 10:11:21.694,12,2.1388888,10.29,0.56,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 10:11:59.999,b5b30872-018a-9b1a-e590-57a764a05adc,
7861,4,0,10,2021-02-11 09:54:00.000,230002,,2021-02-11 09:55:01.102,2021-02-11 09:55:01.101,10,0.8611111,6.77,0.45,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 09:54:59.999,afd782d9-e22d-980c-48c0-e0de453616d7,
26684,4,0,48,2021-02-11 08:42:00.000,230002,,2021-02-11 08:48:24.372,2021-02-11 08:48:24.372,48,1.3611112,36.32,1.72,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:42:59.999,6386fd8f-7eea-574d-6e8e-eb8d176d31c6,
23151,4,0,43,2021-02-11 06:26:00.000,230002,,2021-02-11 06:26:35.625,2021-02-11 06:26:08.130,43,1.3778833,31.9,1.57,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:26:59.999,83aeb607-ceb0-607a-f14e-ecbcc3a35d8c,
25282,4,5,53,2021-02-11 08:48:00.000,230002,,2021-02-11 08:54:59.124,2021-02-11 08:48:24.435,58,1.9020818,48.09,2.31,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:48:59.999,183e6031-b1e9-d520-9184-5b81d0db74ea,
36864,4,0,46,2021-02-11 06:24:00.000,,,2021-02-11 06:35:03.236,2021-02-11 06:35:03.236,60,1.1111112,40.96,2.68,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:25:00.000,27afb66e-6966-49bc-a9d7-3c36166f51e0,
4708,4,0,9,2021-02-11 09:48:00.000,,,2021-02-11 09:55:02.198,2021-02-11 09:55:02.198,9,1.4166666,6.67,0.31,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 09:49:00.000,4b73abb6-255d-434c-9f99-1f38cc463993,
