com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5065,e2bf29a6-9613-4661-9726-35c63e633f02.binning_data.json,3074091,6000,33,2020-04-27 20:35:04.327,com.sec.android.app.shealth,2020-04-27 01:35:01.907,e2bf29a6-9613-4661-9726-35c63e633f02.source_info.json,1.2117388,3724.996,191.351,5032,VfS0qUERdZ,com.sec.android.app.shealth,0,e2bf29a6-9613-4661-9726-35c63e633f02.achievement.json,e2bf29a6-9613-4661-9726-35c63e633f02,1587945600000,
6472,29d2abb2-0310-4f21-96a8-ccaf80a1f25a.binning_data.json,3725821,6000,1,2020-05-02 22:00:01.739,com.sec.android.app.shealth,2020-05-02 22:00:01.739,,2.282354,4811.06,254.62999,6471,F5JW66Upzd,com.sec.android.app.shealth,4572,29d2abb2-0310-4f21-96a8-ccaf80a1f25a.achievement.json,29d2abb2-0310-4f21-96a8-ccaf80a1f25a,1588377600000,
7074,d1ea803d-efb0-4209-90ee-f59a4db69877.binning_data.json,4030067,6000,261,2020-05-12 11:38:02.760,com.sec.android.app.shealth,2020-05-06 01:26:02.879,,3.3583257,5280.131,272.674,6813,ltHsc2Rtmp,com.sec.android.app.shealth,0,d1ea803d-efb0-4209-90ee-f59a4db69877.achievement.json,d1ea803d-efb0-4209-90ee-f59a4db69877,1588723200000,
4691,9c791a99-66e5-4541-a000-d287b7db7f75.binning_data.json,2973970,6000,0,2020-05-04 22:00:01.760,com.sec.android.app.shealth,2020-05-04 22:00:01.760,,1.6944444,3423.02,184.87,4691,F5JW66Upzd,com.sec.android.app.shealth,0,9c791a99-66e5-4541-a000-d287b7db7f75.achievement.json,9c791a99-66e5-4541-a000-d287b7db7f75,1588550400000,
8974,f3b8e0b8-c5ed-4082-b988-3103082e2e06.binning_data.json,5372996,6000,45,2020-04-29 21:35:03.376,com.sec.android.app.shealth,2020-04-29 01:30:30.300,f3b8e0b8-c5ed-4082-b988-3103082e2e06.source_info.json,1.24046,6664.9883,340.722,8929,VfS0qUERdZ,com.sec.android.app.shealth,0,f3b8e0b8-c5ed-4082-b988-3103082e2e06.achievement.json,f3b8e0b8-c5ed-4082-b988-3103082e2e06,1588118400000,
9923,23512dcf-4fcd-40b5-92c8-901f550788b7.binning_data.json,5880586,6000,85,2020-05-12 11:38:01.622,com.sec.android.app.shealth,2020-05-09 01:35:35.283,23512dcf-4fcd-40b5-92c8-901f550788b7.source_info.json,1.2414391,7300.39,391.58,9838,VfS0qUERdZ,com.sec.android.app.shealth,0,23512dcf-4fcd-40b5-92c8-901f550788b7.achievement.json,23512dcf-4fcd-40b5-92c8-901f550788b7,1588982400000,
7161,28b709bc-a102-4387-a1a8-6b751af51657.binning_data.json,4639766,6000,0,2020-05-06 22:00:00.821,com.sec.android.app.shealth,2020-05-06 22:00:00.821,,1.8153507,5168.43,288.76,7161,F5JW66Upzd,com.sec.android.app.shealth,0,28b709bc-a102-4387-a1a8-6b751af51657.achievement.json,28b709bc-a102-4387-a1a8-6b751af51657,1588723200000,
3766,900c5ffd-76c6-46a8-9d13-2e78176bdd14.binning_data.json,2360340,6000,20,2020-05-01 23:35:03.405,com.sec.android.app.shealth,2020-05-01 01:30:22.479,900c5ffd-76c6-46a8-9d13-2e78176bdd14.source_info.json,1.1614203,2741.347,147.5,3746,VfS0qUERdZ,com.sec.android.app.shealth,0,900c5ffd-76c6-46a8-9d13-2e78176bdd14.achievement.json,900c5ffd-76c6-46a8-9d13-2e78176bdd14,1588291200000,
7656,def34983-9e0c-4948-a3da-e814d868cd42.binning_data.json,4654164,6000,2,2020-05-09 22:00:01.747,com.sec.android.app.shealth,2020-05-09 22:00:01.747,,1.4773211,5582.72,308.22998,7654,F5JW66Upzd,com.sec.android.app.shealth,3348,def34983-9e0c-4948-a3da-e814d868cd42.achievement.json,def34983-9e0c-4948-a3da-e814d868cd42,1588982400000,
3264,6a9632ff-821d-4972-8a76-c0921443b468.binning_data.json,1839308,6000,69,2020-04-15 10:47:01.560,com.sec.android.app.shealth,2020-04-15 10:47:01.560,6a9632ff-821d-4972-8a76-c0921443b468.source_info.json,1.3276987,2442.048,122.34,3195,VfS0qUERdZ,com.sec.android.app.shealth,0,6a9632ff-821d-4972-8a76-c0921443b468.achievement.json,6a9632ff-821d-4972-8a76-c0921443b468,1586563200000,
5953,a483a32f-409a-42b9-b600-88fed245a6d1.binning_data.json,3665857,6000,68,2020-05-12 23:55:04.885,com.sec.android.app.shealth,2020-05-12 01:15:30.137,a483a32f-409a-42b9-b600-88fed245a6d1.source_info.json,1.1789042,4321.695,233.63,5885,VfS0qUERdZ,com.sec.android.app.shealth,0,a483a32f-409a-42b9-b600-88fed245a6d1.achievement.json,a483a32f-409a-42b9-b600-88fed245a6d1,1589241600000,
11159,8d1bc6b7-bee3-4f42-b134-dc9d0b18c384.binning_data.json,6411975,6000,16,2020-05-04 00:15:03.454,com.sec.android.app.shealth,2020-05-03 08:35:09.349,8d1bc6b7-bee3-4f42-b134-dc9d0b18c384.source_info.json,1.2929982,8290.672,440.548,11143,VfS0qUERdZ,com.sec.android.app.shealth,0,8d1bc6b7-bee3-4f42-b134-dc9d0b18c384.achievement.json,8d1bc6b7-bee3-4f42-b134-dc9d0b18c384,1588464000000,
6213,d0e8b4c8-0e4b-4304-8a12-19aeb1e326ef.binning_data.json,3526284,6000,56,2020-04-15 10:47:23.947,com.sec.android.app.shealth,2020-04-15 10:47:02.372,,3.3055556,4647.19,226.02,6157,ltHsc2Rtmp,com.sec.android.app.shealth,0,d0e8b4c8-0e4b-4304-8a12-19aeb1e326ef.achievement.json,d0e8b4c8-0e4b-4304-8a12-19aeb1e326ef,1586217600000,
4148,409ef273-6572-42c4-a9ea-fdb404bfd181.binning_data.json,2437983,6000,70,2020-05-12 23:55:05.787,com.sec.android.app.shealth,2020-05-12 11:38:02.918,,2.75,3049.275,153.73,4078,ltHsc2Rtmp,com.sec.android.app.shealth,0,409ef273-6572-42c4-a9ea-fdb404bfd181.achievement.json,409ef273-6572-42c4-a9ea-fdb404bfd181,1589241600000,
2367,5b51bfac-28de-426d-84ab-499c799798ed.binning_data.json,1353858,6000,29,2020-05-12 11:38:02.690,com.sec.android.app.shealth,2020-05-12 11:38:02.690,,2.8055553,1742.63,87.04,2338,ltHsc2Rtmp,com.sec.android.app.shealth,0,5b51bfac-28de-426d-84ab-499c799798ed.achievement.json,5b51bfac-28de-426d-84ab-499c799798ed,1588896000000,
