com.samsung.shealth.stand_day_summary,6156001,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
6293504,2020-05-25 20:21:11.824,2020-05-24 22:00:09.008,ltHsc2Rtmp,com.sec.android.app.shealth,0e2f7922-3004-e3c8-6437-eba5e3154284,1590364800000,
6598665,2020-05-31 20:42:37.960,2020-05-30 22:00:03.315,ltHsc2Rtmp,com.sec.android.app.shealth,162cafc7-d5fc-e154-d5a9-e79cc6ab4948,1590883200000,
4227072,2020-06-06 20:27:53.239,2020-06-05 22:00:12.985,ltHsc2Rtmp,com.sec.android.app.shealth,c73aa129-c4b4-8e44-89a9-e74b31052cfa,1591401600000,
2822144,2020-06-12 19:19:00.284,2020-06-11 22:00:05.451,ltHsc2Rtmp,com.sec.android.app.shealth,1f8615b6-bb53-1688-4755-69ec569947fe,1591920000000,
6822400,2020-06-18 20:27:40.373,2020-06-17 22:00:02.799,ltHsc2Rtmp,com.sec.android.app.shealth,11fc5e6b-830b-946d-630c-7fc7e2209d35,1592438400000,
2097152,2020-06-24 19:06:01.314,2020-06-23 22:00:11.734,ltHsc2Rtmp,com.sec.android.app.shealth,66c20d54-74ca-3889-93e4-d5e22e8cee1c,1592956800000,
1050624,2020-06-30 18:10:31.291,2020-06-29 22:00:12.671,ltHsc2Rtmp,com.sec.android.app.shealth,216ce330-2b6c-feb6-d275-fe4bbf12c8df,1593475200000,
262144,2020-07-06 16:48:41.270,2020-07-05 22:00:08.951,ltHsc2Rtmp,com.sec.android.app.shealth,fb6946ae-d7f5-9be5-ed4b-d452dcc60816,1593993600000,
2,2020-07-11 23:22:13.233,2020-07-11 22:00:04.749,ltHsc2Rtmp,com.sec.android.app.shealth,d1e8da33-da79-6bc1-f401-431bb23578dc,1594512000000,
1051648,2020-07-18 18:52:17.259,2020-07-17 22:00:05.578,ltHsc2Rtmp,com.sec.android.app.shealth,110595ec-3cee-e850-0f1b-2e7b5e0fdd8e,1595030400000,
1200640,2020-07-24 18:01:43.330,2020-07-23 22:00:04.903,ltHsc2Rtmp,com.sec.android.app.shealth,526a2ced-6d18-fbb8-6e44-adb34259bccd,1595548800000,
66176,2020-07-30 14:42:39.234,2020-07-30 02:54:27.298,ltHsc2Rtmp,com.sec.android.app.shealth,84a7a1b6-acdb-6eef-5173-4a33b2b14fe1,1596067200000,
540672,2020-08-05 17:48:20.299,2020-08-05 06:58:49.446,ltHsc2Rtmp,com.sec.android.app.shealth,eab18d1a-907b-5539-11d8-a986f003a87f,1596585600000,
1572864,2020-08-11 18:54:21.274,2020-08-10 22:00:11.190,ltHsc2Rtmp,com.sec.android.app.shealth,d8265521-e012-0b06-5523-51ae46187dfa,1597104000000,
6359554,2020-08-17 20:38:54.300,2020-08-16 22:00:13.083,ltHsc2Rtmp,com.sec.android.app.shealth,5d57e427-7f63-ff94-bc74-0f062fff3242,1597622400000,
0,2020-08-22 22:00:11.388,2020-08-22 22:00:11.387,ltHsc2Rtmp,com.sec.android.app.shealth,7163fd53-905d-9c03-b23b-ea7d1cb678d7,1598140800000,
525312,2020-08-29 17:18:01.254,2020-08-29 03:17:51.526,ltHsc2Rtmp,com.sec.android.app.shealth,fce0077d-4de5-4d2c-1086-b54235a23999,1598659200000,
594944,2020-09-04 17:37:45.238,2020-09-03 22:00:15.357,ltHsc2Rtmp,com.sec.android.app.shealth,9a5c6061-037e-7299-c390-330050c98899,1599177600000,
256,2020-09-10 06:14:57.252,2020-09-09 22:00:12.558,ltHsc2Rtmp,com.sec.android.app.shealth,7de106b7-4ba9-5bed-7922-e1e77f0d0743,1599696000000,
0,2020-09-15 22:00:03.037,2020-09-15 22:00:03.037,ltHsc2Rtmp,com.sec.android.app.shealth,77b9842f-076d-bf8d-a884-141eaf5b44df,1600214400000,
1312768,2020-09-23 18:31:56.318,2020-09-22 22:00:06.219,ltHsc2Rtmp,com.sec.android.app.shealth,6a976d2c-8f5e-a729-3b19-4c7fe6d97d67,1600819200000,
8,2020-09-29 01:37:36.337,2020-09-28 22:00:09.772,ltHsc2Rtmp,com.sec.android.app.shealth,9ae45947-4543-196a-f14a-5390b5ef82d1,1601337600000,
590080,2020-10-05 17:20:40.272,2020-10-05 04:12:31.107,ltHsc2Rtmp,com.sec.android.app.shealth,1855605c-52f7-c4cb-9872-4b17e77724d0,1601856000000,
557056,2020-10-11 17:18:20.285,2020-10-10 22:00:03.292,ltHsc2Rtmp,com.sec.android.app.shealth,f7c373a4-92bf-e9fe-7105-48aa917c5356,1602374400000,
8388608,2020-11-11 22:40:31.273,2020-11-10 23:00:04.633,ltHsc2Rtmp,com.sec.android.app.shealth,024b82f4-9ec9-80b1-2f5a-99508cc4899e,1605052800000,
