com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-15 22:00:00.000,,100003,,2020-04-17 21:14:07.777,2020-04-17 21:14:07.777,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":11737}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-15 22:00:00.000,1802aac5-86e2-4a57-bbc7-5d8be261d44b,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-27 08:15:54.220,2020-04-27 08:15:54.220,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,77557c77-06ca-4b63-bbb3-15da8bc86c60,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-29 16:59:40.725,2020-04-29 16:59:40.725,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,6eee3b6d-6e17-44c0-9467-9684ce41e1bb,1,
,2020-04-12 22:00:00.000,,100003,,2020-05-06 17:08:11.392,2020-04-15 10:47:01.926,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":7900}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-12 22:00:00.000,4e03be26-a8db-4c39-8bb7-5701ef7c88d1,1,
,2020-04-18 22:00:00.000,,2399999,,2020-05-16 19:52:16.805,2020-04-19 10:40:58.495,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":8898}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,56a32b65-3490-4c24-8db6-ee6b89e2cd76,1,
,2020-04-19 22:00:00.000,,2399999,,2020-05-17 21:21:03.955,2020-04-20 19:49:44.500,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":7001}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-19 22:00:00.000,eae428bc-d1fa-4340-8f76-2e4e836e9d7d,1,
,2020-04-01 22:00:00.000,,2399999,,2020-04-29 21:35:03.862,2020-04-15 10:47:23.648,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":10154}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-01 22:00:00.000,44d2eb1f-0849-40d1-88e5-e7d1f98aaff5,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-29 18:17:55.009,2020-04-29 18:17:55.009,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,7c750180-239e-4fd9-a90c-f42da1d6fa41,1,
,2020-04-20 22:00:00.000,,2399999,,2020-05-18 20:13:38.328,2020-04-21 12:31:54.029,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":11025}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-20 22:00:00.000,19bd93d6-266b-4c2e-bb60-cf52b92e18f0,1,
,2020-04-04 22:00:00.000,,100003,,2020-05-02 19:50:16.210,2020-04-15 10:47:24.388,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":6839}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-04 22:00:00.000,edcb448f-d813-4723-b230-32598c1ccf4e,1,
